ward,date,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_12,cases_roll_3,cases_roll_6,rain_lag_1,rain_3m_lag,rainy_days_lag_1,heavy_rain_days_lag_1,tmax_lag_1,tmin_lag_1,humidity_lag_1,oni_lag_1,month_sin,month_cos,slum_pct_imputed,population_density_per_km2,elevation_m,vulnerability_index,population_2019,predicted_cases,lower_80,upper_80,latest_annual_cases,calibration_scale,scenario,enso_value,climate_rain_mm_lag1,climate_temp_lag1,q50,q75,q90,slum_pct,risk_score,risk_level,priority_score,predicted_cases_per_100k
F/N,2026-03-01,93.92847635105156,88.62756233916052,90.11553820214749,77.8397373325051,90.89052563078651,92.78149495666577,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,58.0,44351.2179713998,11.0,94.01830303515386,547438.0,94.0715441443914,66.7073746751631,126.5807795929283,1048.0,0.9912229790641491,typical,0.0,1.0079904092581817,30.034908066502485,210.5,281.5,415.30000000000007,58.0,2.272727272727273,Low,25.20912121333392,17.18396314183367
C,2026-03-01,23.981795614398013,24.930630257895462,24.50365466832161,25.855744035305474,24.472026846871696,26.369696133866594,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,39.0,89447.24562784938,15.0,100.0,171941.0,25.97008901262241,15.04251395311602,37.46556041607022,344.0,0.57970542451328,typical,0.0,1.0079904092581817,30.034908066502485,191.0,245.0,288.0,,0.0,Low,25.0,15.104070008097203
M/W,2026-03-01,125.46020396202086,130.3427499706951,134.58844215215098,123.97421169851131,130.13046536162233,127.19386160278201,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,53.0,24370.643551681354,8.0,75.68490036817151,426222.0,119.12946400184394,88.80976050644962,154.35510195795396,1811.0,0.9883692592576139,typical,0.0,1.0079904092581817,30.034908066502485,208.5,298.5,405.30000000000007,53.0,7.575757575757576,Low,24.60304327386106,27.950097367532397
S,2026-03-01,181.05782203662062,208.87198843559267,199.92539351108255,164.05043366527465,196.61840132776527,183.74475318556588,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,72.0,25742.327721822323,18.0,95.07507283047032,769657.0,171.30217508709808,120.7311777241504,236.6940749310522,2206.0,1.0383821745317885,typical,0.0,1.0079904092581817,30.034908066502485,344.5,434.5,517.8,72.0,0.7575757575757576,Low,24.336950025799396,22.25695018522512
G/N,2026-03-01,170.82039929830427,185.2441734190962,222.31684905187538,217.4294545150781,192.79380725642525,212.78046946788072,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,32.0,70386.32902931391,13.0,79.41957984524025,619878.0,166.40743710427716,136.99130935578415,236.34556642055918,2854.0,0.9723801736603143,typical,0.0,1.0079904092581817,30.034908066502485,344.5,431.25,580.8000000000002,32.0,3.0303030303030303,Low,22.127622234037336,26.84519165130512
H/E,2026-03-01,173.27578078962873,209.88037713612258,184.70595167943426,172.01355332940483,189.2873698683952,188.67963072087994,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,42.0,46206.38850675846,5.0,78.64547148825885,576624.0,175.92409894907155,145.89470209012143,242.54678829337863,2261.0,1.0452336083598999,typical,0.0,1.0079904092581817,30.034908066502485,446.0,562.5,628.9,42.0,1.5151515151515151,Low,20.79773150842835,30.509326519373378
P/S,2026-03-01,37.79503433703117,43.7147385103011,36.88431061806656,29.940042260961437,39.46469448846628,34.70236837471386,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,57.0,18947.99258776129,13.0,74.55156987481263,479631.0,33.648448237316025,21.23530933000124,44.83975663484239,431.0,0.6938065216802108,typical,0.0,1.0079904092581817,30.034908066502485,68.5,84.0,110.80000000000001,57.0,1.5151515151515151,Low,19.774256105066794,7.015486538050298
K/E,2026-03-01,254.40117943919935,290.8694394828613,261.67729863060305,260.97598593745573,268.9826391842212,259.6610246378045,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,49.0,35404.028806505885,32.0,67.47412697353374,852546.0,241.77467435299144,204.73014667475567,288.75272505023145,3092.0,0.9844485120143874,typical,0.0,1.0079904092581817,30.034908066502485,550.5,641.75,805.2,49.0,0.0,Low,16.868531743383436,28.359135384248056
H/W,2026-03-01,99.97373737373736,123.06666666666666,92.22828282828283,105.42424242424242,105.0895622895623,106.5,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,39.0,35081.3916144126,16.0,62.419549628621816,318281.0,89.67920553506737,65.56061996633943,111.64176508645498,1278.0,0.9688994021038206,typical,0.0,1.0079904092581817,30.034908066502485,163.0,221.25,291.6,39.0,0.7575757575757576,Low,16.173069225337272,28.176110272076365
K/W,2026-03-01,144.48728671796587,175.0081967213115,154.0656574105052,167.37796922047508,157.85371361659418,146.54366008698562,1.0079904092581817,3.2985643951563635,0.09090909090909091,0.0,30.034908066502485,20.095388149350672,62.916053262106736,0.0,1.0,6.123233995736766e-17,15.0,31401.094940158986,4.0,36.309719599293075,774733.0,128.6789096003286,97.93429526356441,166.15290633127398,1941.0,1.0092975501098544,typical,0.0,1.0079904092581817,30.034908066502485,255.0,312.0,386.9,15.0,7.575757575757576,Low,14.75924808164145,16.609452495289165
